
chemical	1.867025307795158
plant	1.565995312131177
hormone	1.9250172547728448
plant-based diets	1.867025307795158
cancer	1.8158727853477767
supplement	1.867025307795158
illness	1.6561719424802648
spice	1.6909340487394768
plant foods	1.9919640444034579
fruit	1.7701152947871017
medication	1.9919640444034579
legume	1.8158727853477767
side effects	1.9919640444034579
pollutant	1.9250172547728448
vegetable	1.5396663734088278
disease	1.2386363777448466
green	1.9919640444034579
phytonutrient	1.7701152947871017
drug	1.4478960000531824
diet	1.9919640444034579
meat	1.7701152947871017
industrial pollutants	1.9919640444034579
